sector,fiscal_year,number_of_agents,total_apprehensions,other_than_mexican_apprehensions,marijuana_pounds,cocaine_pounds,accepted_prosecutions,assaults,rescues,deaths,accompanied_juveniles,unaccompanied_juveniles,total_juveniles,total_adults,female_apprehensions,male_apprehensions,family_apprehensions
el paso,1991,,211775,,,,,,,,,,,,,,
laredo,1991,,72293,,,,,,,,,,,,,,
rio grande valley,1991,,87319,,,,,,,,,,,,,,
san diego,1991,,540347,,,,,,,,,,,,,,
tucson,1991,,59728,,,,,,,,,,,,,,
yuma,1991,,28646,,,,,,,,,,,,,,
southwest border,1991,,1077876,,,,,,,,,,,,,,
big bend,1990,,7180,,,,,,,,,,,,,,
del rio,1990,,41373,,,,,,,,,,,,,,
el centro,1990,,28708,,,,,,,,,,,,,,
el paso,1990,,223219,,,,,,,,,,,,,,
laredo,1990,,89052,,,,,,,,,,,,,,
rio grande valley,1990,,97018,,,,,,,,,,,,,,
san diego,1990,,473323,,,,,,,,,,,,,,
tucson,1990,,53061,,,,,,,,,,,,,,
yuma,1990,,36387,,,,,,,,,,,,,,
southwest border,1990,,1049321,,,,,,,,,,,,,,
big bend,1989,,5560,,,,,,,,,,,,,,
del rio,1989,,46786,,,,,,,,,,,,,,
el centro,1989,,27524,,,,,,,,,,,,,,
el paso,1989,,168105,,,,,,,,,,,,,,
laredo,1989,,75292,,,,,,,,,,,,,,
rio grande valley,1989,,79650,,,,,,,,,,,,,,
san diego,1989,,366757,,,,,,,,,,,,,,
tucson,1989,,51445,,,,,,,,,,,,,,
yuma,1989,,31387,,,,,,,,,,,,,,
southwest border,1989,,852506,,,,,,,,,,,,,,
big bend,1988,,6209,,,,,,,,,,,,,,
del rio,1988,,59403,,,,,,,,,,,,,,
el centro,1988,,41179,,,,,,,,,,,,,,
el paso,1988,,182566,,,,,,,,,,,,,,
laredo,1988,,69912,,,,,,,,,,,,,,
rio grande valley,1988,,60294,,,,,,,,,,,,,,
san diego,1988,,431592,,,,,,,,,,,,,,
tucson,1988,,48683,,,,,,,,,,,,,,
yuma,1988,,42723,,,,,,,,,,,,,,
southwest border,1988,,942561,,,,,,,,,,,,,,
big bend,1987,,9586,,,,,,,,,,,,,,
del rio,1987,,64934,,,,,,,,,,,,,,
el centro,1987,,55291,,,,,,,,,,,,,,
el paso,1987,,231994,,,,,,,,,,,,,,
laredo,1987,,74139,,,,,,,,,,,,,,
rio grande valley,1987,,71038,,,,,,,,,,,,,,
san diego,1987,,500327,,,,,,,,,,,,,,
tucson,1987,,47481,,,,,,,,,,,,,,
yuma,1987,,67277,,,,,,,,,,,,,,
southwest border,1987,,1122067,,,,,,,,,,,,,,
big bend,1986,,23796,,,,,,,,,,,,,,
del rio,1986,,123952,,,,,,,,,,,,,,
el centro,1986,,95186,,,,,,,,,,,,,,
el paso,1986,,312892,,,,,,,,,,,,,,
laredo,1986,,143685,,,,,,,,,,,,,,
rio grande valley,1986,,121783,,,,,,,,,,,,,,
san diego,1986,,629656,,,,,,,,,,,,,,
tucson,1986,,71675,,,,,,,,,,,,,,
yuma,1986,,93219,,,,,,,,,,,,,,
southwest border,1986,,1615844,,,,,,,,,,,,,,
big bend,1985,,23667,,,,,,,,,,,,,,
del rio,1985,,99280,,,,,,,,,,,,,,
el centro,1985,,71519,,,,,,,,,,,,,,
el paso,1985,,240350,,,,,,,,,,,,,,
laredo,1985,,114931,,,,,,,,,,,,,,
rio grande valley,1985,,82826,,,,,,,,,,,,,,
san diego,1985,,427772,,,,,,,,,,,,,,
tucson,1985,,55269,,,,,,,,,,,,,,
yuma,1985,,67737,,,,,,,,,,,,,,
southwest border,1985,,1183351,,,,,,,,,,,,,,
big bend,1984,,22196,,,,,,,,,,,,,,
del rio,1984,,87058,,,,,,,,,,,,,,
el centro,1984,,68563,,,,,,,,,,,,,,
el paso,1984,,212652,,,,,,,,,,,,,,
laredo,1984,,87059,,,,,,,,,,,,,,
rio grande valley,1984,,66860,,,,,,,,,,,,,,
san diego,1984,,407828,,,,,,,,,,,,,,
tucson,1984,,46283,,,,,,,,,,,,,,
yuma,1984,,59777,,,,,,,,,,,,,,
southwest border,1984,,1058276,,,,,,,,,,,,,,
big bend,1983,,20829,,,,,,,,,,,,,,
del rio,1983,,83733,,,,,,,,,,,,,,
el centro,1983,,71897,,,,,,,,,,,,,,
el paso,1983,,205944,,,,,,,,,,,,,,
laredo,1983,,65279,,,,,,,,,,,,,,
rio grande valley,1983,,57706,,,,,,,,,,,,,,
san diego,1983,,429121,,,,,,,,,,,,,,
tucson,1983,,35870,,,,,,,,,,,,,,
yuma,1983,,63595,,,,,,,,,,,,,,
southwest border,1983,,1033974,,,,,,,,,,,,,,
big bend,1982,,20268,,,,,,,,,,,,,,
del rio,1982,,48753,,,,,,,,,,,,,,
el centro,1982,,55440,,,,,,,,,,,,,,
el paso,1982,,152882,,,,,,,,,,,,,,
laredo,1982,,40385,,,,,,,,,,,,,,
rio grande valley,1982,,32533,,,,,,,,,,,,,,
san diego,1982,,314979,,,,,,,,,,,,,,
